Date,Price
09-03-2018,65.433998
12-03-2018,69.101997
13-03-2018,68.367996
14-03-2018,65.325996
15-03-2018,65.120003
16-03-2018,64.269997
19-03-2018,62.712002
20-03-2018,62.110001
21-03-2018,63.306
22-03-2018,61.82
23-03-2018,60.307999
26-03-2018,60.835999
27-03-2018,55.835999
28-03-2018,51.556
29-03-2018,53.226002
02-04-2018,50.495998
03-04-2018,53.506001
04-04-2018,57.388
05-04-2018,61.144001
06-04-2018,59.860001
09-04-2018,57.931999
10-04-2018,60.939999
11-04-2018,60.186001
12-04-2018,58.816002
13-04-2018,60.068001
16-04-2018,58.242001
17-04-2018,57.537998
18-04-2018,58.669998
19-04-2018,60.015999
20-04-2018,58.048
23-04-2018,56.674
24-04-2018,56.692001
25-04-2018,56.138
26-04-2018,57.096001
27-04-2018,58.816002
30-04-2018,58.779999
01-05-2018,59.984001
02-05-2018,60.23
03-05-2018,56.889999
04-05-2018,58.818001
07-05-2018,60.554001
08-05-2018,60.394001
09-05-2018,61.369999
10-05-2018,61.004002
11-05-2018,60.212002
14-05-2018,58.394001
15-05-2018,56.835999
16-05-2018,57.296001
17-05-2018,56.908001
18-05-2018,55.363998
21-05-2018,56.897999
22-05-2018,55.001999
23-05-2018,55.813999
24-05-2018,55.57
25-05-2018,55.77
29-05-2018,56.751999
30-05-2018,58.344002
31-05-2018,56.945999
01-06-2018,58.363998
04-06-2018,59.348
05-06-2018,58.226002
06-06-2018,63.900002
07-06-2018,63.217999
08-06-2018,63.532001
11-06-2018,66.419998
12-06-2018,68.554001
13-06-2018,68.956001
14-06-2018,71.543999
15-06-2018,71.634003
18-06-2018,74.166
19-06-2018,70.510002
20-06-2018,72.444
21-06-2018,69.501999
22-06-2018,66.725998
25-06-2018,66.601997
26-06-2018,68.400002
27-06-2018,68.900002
28-06-2018,69.986
29-06-2018,68.589996
02-07-2018,67.014
03-07-2018,62.172001
05-07-2018,61.832001
06-07-2018,61.779999
09-07-2018,63.702
10-07-2018,64.494003
11-07-2018,63.792
12-07-2018,63.341999
13-07-2018,63.773998
16-07-2018,62.02
17-07-2018,64.538002
18-07-2018,64.769997
19-07-2018,64.045998
20-07-2018,62.716
23-07-2018,60.639999
24-07-2018,59.486
25-07-2018,61.748001
26-07-2018,61.330002
27-07-2018,59.436001
30-07-2018,58.034
31-07-2018,59.627998
01-08-2018,60.167999
02-08-2018,69.907997
03-08-2018,69.634003
06-08-2018,68.398003
07-08-2018,75.914001
08-08-2018,74.068001
09-08-2018,70.489998
10-08-2018,71.098
13-08-2018,71.281998
14-08-2018,69.528
15-08-2018,67.737999
16-08-2018,67.089996
17-08-2018,61.099998
20-08-2018,61.688
21-08-2018,64.379997
22-08-2018,64.328003
23-08-2018,64.019997
24-08-2018,64.564003
27-08-2018,63.854
28-08-2018,62.372002
29-08-2018,61.001999
30-08-2018,60.630001
31-08-2018,60.332001
04-09-2018,57.790001
05-09-2018,56.147999
06-09-2018,56.189999
07-09-2018,52.647999
10-09-2018,57.099998
11-09-2018,55.888
12-09-2018,58.108002
13-09-2018,57.891998
14-09-2018,59.040001
17-09-2018,58.967999
18-09-2018,56.992001
19-09-2018,59.804001
20-09-2018,59.666
21-09-2018,59.82
24-09-2018,59.936001
25-09-2018,60.198002
26-09-2018,61.916
27-09-2018,61.504002
28-09-2018,52.953999
01-10-2018,62.139999
02-10-2018,60.203999
03-10-2018,58.959999
04-10-2018,56.366001
05-10-2018,52.389999
08-10-2018,50.112
09-10-2018,52.560001
10-10-2018,51.375999
11-10-2018,50.445999
12-10-2018,51.756001
15-10-2018,51.917999
16-10-2018,55.318001
17-10-2018,54.355999
18-10-2018,52.782001
19-10-2018,52
22-10-2018,52.189999
23-10-2018,58.827999
24-10-2018,57.700001
25-10-2018,62.972
26-10-2018,66.18
